Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Neotoma magister,https://guides.nynhp.org/status/2.101808/,Allegheny Woodrat,Mammalia (Mammals),Rodentia (Rodents),Cricetidae,G3G4,S1,,Endangered,Yes (high priority),Y,A,https://guides.nynhp.org/allegheny-woodrat/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101808/Neotoma_magister/
Neotrichia collata,https://guides.nynhp.org/status/2.110575/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110575/Neotrichia_collata/
Neotrichia halia,https://guides.nynhp.org/status/2.755417/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.755417/Neotrichia_halia/
Neotrichia okopa,https://guides.nynhp.org/status/2.112015/,Triangular Microcaddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G4G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112015/Neotrichia_okopa/
Neotrichia vibrans,https://guides.nynhp.org/status/2.116928/,,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116928/Neotrichia_vibrans/
Neottia auriculata,https://guides.nynhp.org/status/2.157791/,Auricled Twayblade,Monocotyledoneae (Monocots),Orchidales,Orchidaceae (Orchid Family),G3G4,S1,,Endangered,,Y,P,https://guides.nynhp.org/auricled-twayblade/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157791/Neottia_auriculata/
Neottia bifolia,https://guides.nynhp.org/status/2.141348/,Southern Twayblade,Monocotyledoneae (Monocots),Orchidales,Orchidaceae (Orchid Family),G5,S2,,Endangered,,Y,P,https://guides.nynhp.org/southern-twayblade/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141348/Neottia_bifolia/
Neottia convallarioides,https://guides.nynhp.org/status/2.129154/,Broad-lipped Twayblade,Monocotyledoneae (Monocots),Orchidales,Orchidaceae (Orchid Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/broad-lipped-twayblade/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129154/Neottia_convallarioides/
Neottia cordata var. cordata,https://guides.nynhp.org/status/2.128593/,Heart-leaved Twayblade,Monocotyledoneae (Monocots),Orchidales,Orchidaceae (Orchid Family),G5T5,S3S4,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128593/Neottia_cordata_var_cordata/
Nepytia pellucidaria,https://guides.nynhp.org/status/2.119898/,A Geometrid Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Geometridae (Loopers, Span Worms, Inch Worms, Geometer Moths)",GU,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119898/Nepytia_pellucidaria/
Nepytia sp. 1,https://guides.nynhp.org/status/2.115167/,Dusky Mid-summer Nepytia,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Geometridae (Loopers, Span Worms, Inch Worms, Geometer Moths)",G4G5,SU,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115167/Nepytia_sp_1/
Nerice bidentata,https://guides.nynhp.org/status/2.116211/,,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Notodontidae (Prominent Moths),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116211/Nerice_bidentata/
Nerodia sipedon,https://guides.nynhp.org/status/2.105253/,Northern Watersnake,Reptilia (Reptiles),"Squamata (Lizards, Snakes and Amphisbaenians)",Colubridae (Colubrid Snakes),G5,S5,,Game with no open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105253/Nerodia_sipedon/
Nesovitrea binneyana,https://guides.nynhp.org/status/2.120233/,,Gastropoda (Gastropods),Stylommatophora,Zonitidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120233/Nesovitrea_binneyana/
Nesovitrea electrina,https://guides.nynhp.org/status/2.108121/,Amber Glass,Gastropoda (Gastropods),Stylommatophora,Zonitidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108121/Nesovitrea_electrina/
Neureclipsis bimaculata,https://guides.nynhp.org/status/2.757653/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757653/Neureclipsis_bimaculata/
Neureclipsis crepuscularis,https://guides.nynhp.org/status/2.109636/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109636/Neureclipsis_crepuscularis/
Neureclipsis valida,https://guides.nynhp.org/status/2.757656/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757656/Neureclipsis_valida/
Neurocordulia michaeli,https://guides.nynhp.org/status/2.116605/,Broad-tailed Shadowdragon,Insecta (Insects),Odonata (Dragonflies and Damselflies),Corduliidae (Emeralds),G4,S1,,,Yes (potential),Y,A,https://guides.nynhp.org/broad-tailed-shadowdragon/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116605/Neurocordulia_michaeli/
Neurocordulia obsoleta,https://guides.nynhp.org/status/2.107945/,Umber Shadowdragon,Insecta (Insects),Odonata (Dragonflies and Damselflies),Corduliidae (Emeralds),G5,S1,,,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107945/Neurocordulia_obsoleta/
Neurocordulia yamaskanensis,https://guides.nynhp.org/status/2.117881/,Stygian Shadowdragon,Insecta (Insects),Odonata (Dragonflies and Damselflies),Corduliidae (Emeralds),G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117881/Neurocordulia_yamaskanensis/
Nicrophorus americanus,https://guides.nynhp.org/status/2.113123/,American Burying Beetle,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Silphidae (Carrion Beetles),G3,SH,Threatened,Endangered,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113123/Nicrophorus_americanus/
Nixe inconspicua,https://guides.nynhp.org/status/2.115704/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115704/Nixe_inconspicua/
Nixe lucidipennis,https://guides.nynhp.org/status/2.112887/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112887/Nixe_lucidipennis/
Nixe rusticalis,https://guides.nynhp.org/status/2.121042/,Rusty Flat-headed Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G5,S2,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121042/Nixe_rusticalis/
Nocomis biguttatus,https://guides.nynhp.org/status/2.105726/,Hornyhead Chub,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105726/Nocomis_biguttatus/
Nocomis micropogon,https://guides.nynhp.org/status/2.101786/,River Chub,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101786/Nocomis_micropogon/
Notemigonus crysoleucas,https://guides.nynhp.org/status/2.103602/,Golden Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103602/Notemigonus_crysoleucas/
Nothonotus camurus,https://guides.nynhp.org/status/2.103976/,Bluebreast Darter,Actinopterygii (Ray-finned Fishes),Perciformes (Perch-like Fishes),Percidae (perches and darters),G4,S1,,Threatened,Yes (high priority),Y,A,https://guides.nynhp.org/bluebreast-darter/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103976/Nothonotus_camurus/
Nothonotus maculatus,https://guides.nynhp.org/status/2.106310/,Spotted Darter,Actinopterygii (Ray-finned Fishes),Perciformes (Perch-like Fishes),Percidae (perches and darters),G3?,S1,,Threatened,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106310/Nothonotus_maculatus/
Notodonta scitipennis,https://guides.nynhp.org/status/2.1228855/,,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Notodontidae (Prominent Moths),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1228855/Notodonta_scitipennis/
Notodonta torva,https://guides.nynhp.org/status/2.848692/,,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Notodontidae (Prominent Moths),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.848692/Notodonta_torva/
Notophthalmus viridescens,https://guides.nynhp.org/status/2.106122/,Eastern Newt,Amphibia (Amphibians),Caudata (Salamanders),Salamandridae,G5,S5,,Game with no open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106122/Notophthalmus_viridescens/
Notropis amoenus,https://guides.nynhp.org/status/2.105009/,Comely Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S2,,Threatened,Yes (high priority),Y,A,https://guides.nynhp.org/comely-shiner/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105009/Notropis_amoenus/
Notropis atherinoides,https://guides.nynhp.org/status/2.100819/,Emerald Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100819/Notropis_atherinoides/
Notropis bifrenatus,https://guides.nynhp.org/status/2.100562/,Bridle Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G3,S2?,,,Yes,Y,A,https://guides.nynhp.org/bridle-shiner/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100562/Notropis_bifrenatus/
Notropis heterolepis,https://guides.nynhp.org/status/2.101074/,Blacknose Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S2S3,,,Yes,Y,A,https://guides.nynhp.org/blacknose-shiner/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101074/Notropis_heterolepis/
Notropis photogenis,https://guides.nynhp.org/status/2.105739/,Silver Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105739/Notropis_photogenis/
Notropis rubellus,https://guides.nynhp.org/status/2.738886/,Rosyface Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.738886/Notropis_rubellus/
Noturus flavus,https://guides.nynhp.org/status/2.101382/,Stonecat,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101382/Noturus_flavus/
Noturus gyrinus,https://guides.nynhp.org/status/2.104908/,Tadpole Madtom,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104908/Noturus_gyrinus/
Noturus insignis,https://guides.nynhp.org/status/2.103498/,Margined Madtom,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103498/Noturus_insignis/
Noturus miurus,https://guides.nynhp.org/status/2.100965/,Brindled Madtom,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S3S4,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100965/Noturus_miurus/
Novisuccinea chittenangoensis,https://guides.nynhp.org/status/2.114563/,Chittenango Ovate Amber Snail,Gastropoda (Gastropods),Stylommatophora,Succineidae,G1,S1,Threatened,Endangered,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114563/Novisuccinea_chittenangoensis/
Novisuccinea ovalis,https://guides.nynhp.org/status/2.107349/,Oval Ambersnail,Gastropoda (Gastropods),Stylommatophora,Succineidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107349/Novisuccinea_ovalis/
Numenius americanus,https://guides.nynhp.org/status/2.100438/,Long-billed Curlew,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G4,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100438/Numenius_americanus/
Numenius arquata,https://guides.nynhp.org/status/2.101267/,Eurasian Curlew,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G4,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101267/Numenius_arquata/
Numenius borealis,https://guides.nynhp.org/status/2.100370/,Eskimo Curlew,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",GH,SXN,Endangered,Endangered,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100370/Numenius_borealis/
Numenius phaeopus,https://guides.nynhp.org/status/2.105017/,Whimbrel,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,Yes (high priority),,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105017/Numenius_phaeopus/
Nyctanassa violacea,https://guides.nynhp.org/status/2.106355/,Yellow-crowned Night Heron,Aves (Birds),Pelecaniformes (Pelicans and Cormorants),"Ardeidae (Herons, Bitterns, and Egrets)",G5,S2,,Protected Bird,Yes,Y,A,https://guides.nynhp.org/yellow-crowned-night-heron/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106355/Nyctanassa_violacea/
Nycticorax nycticorax,https://guides.nynhp.org/status/2.104974/,Black-crowned Night Heron,Aves (Birds),Pelecaniformes (Pelicans and Cormorants),"Ardeidae (Herons, Bitterns, and Egrets)",G5,S3,,Protected Bird,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104974/Nycticorax_nycticorax/
Nyctiophylax affinis,https://guides.nynhp.org/status/2.115882/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115882/Nyctiophylax_affinis/
Nyctiophylax banksi,https://guides.nynhp.org/status/2.113100/,,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113100/Nyctiophylax_banksi/
Nyctiophylax celta,https://guides.nynhp.org/status/2.116072/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116072/Nyctiophylax_celta/
Nyctiophylax moestus,https://guides.nynhp.org/status/2.114691/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114691/Nyctiophylax_moestus/
Nyctiophylax nephophilus,https://guides.nynhp.org/status/2.108759/,A Polycentropodid Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G3,S1S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108759/Nyctiophylax_nephophilus/
Nyctiophylax uncus,https://guides.nynhp.org/status/2.121288/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,G3G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121288/Nyctiophylax_uncus/
Nyctiophylax vestitus,https://guides.nynhp.org/status/2.757661/,,Insecta (Insects),Trichoptera (Caddisflies),Polycentropodidae,GUQ,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757661/Nyctiophylax_vestitus/
Nymphalis antiopa,https://guides.nynhp.org/status/2.114902/,Mourning Cloak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Nymphalidae (Brushfooted Butterflies),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114902/Nymphalis_antiopa/
Nymphalis californica,https://guides.nynhp.org/status/2.116154/,California Tortoiseshell,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Nymphalidae (Brushfooted Butterflies),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116154/Nymphalis_californica/
Nymphalis l-album,https://guides.nynhp.org/status/2.110727/,Compton Tortoiseshell,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Nymphalidae (Brushfooted Butterflies),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110727/Nymphalis_l_album/
Obliquaria reflexa,https://guides.nynhp.org/status/2.109254/,Threehorn Wartyback,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109254/Obliquaria_reflexa/
Obovaria olivaria,https://guides.nynhp.org/status/2.113791/,Hickorynut,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G4,S1,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113791/Obovaria_olivaria/
Obovaria subrotunda,https://guides.nynhp.org/status/2.117121/,Round Hickorynut,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G3,SH,Threatened,Threatened,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117121/Obovaria_subrotunda/
Oceanites oceanicus,https://guides.nynhp.org/status/2.103558/,Wilson's Storm-petrel,Aves (Birds),Procellariiformes,Hydrobatidae,G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103558/Oceanites_oceanicus/
Oceanodroma leucorhoa,https://guides.nynhp.org/status/2.971608/,Leach's Storm-petrel,Aves (Birds),Procellariiformes,Hydrobatidae,G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.971608/Oceanodroma_leucorhoa/
Ochrotrichia confusa,https://guides.nynhp.org/status/2.119602/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G3G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119602/Ochrotrichia_confusa/
Ochrotrichia oregona,https://guides.nynhp.org/status/2.755424/,A Purse Casemaker Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G4G5,S1S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.755424/Ochrotrichia_oregona/
Ochrotrichia shawnee,https://guides.nynhp.org/status/2.108484/,A Purse Casmaker Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G3G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108484/Ochrotrichia_shawnee/
Ochrotrichia tarsalis,https://guides.nynhp.org/status/2.106676/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106676/Ochrotrichia_tarsalis/
Oclemena nemoralis,https://guides.nynhp.org/status/2.132750/,Bog Aster,Dicotyledoneae (Dicots),Asterales,Asteraceae (Aster Family),G5,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132750/Oclemena_nemoralis/
Ocyptamus fascipennis,https://guides.nynhp.org/status/2.950658/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950658/Ocyptamus_fascipennis/
Ocyptamus fuscipennis,https://guides.nynhp.org/status/2.950659/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950659/Ocyptamus_fuscipennis/
Odocoileus virginianus,https://guides.nynhp.org/status/2.104777/,White-tailed Deer,Mammalia (Mammals),Artiodactyla (Even-toed Hoofed Mammals),Cervidae,G5,S5,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104777/Odocoileus_virginianus/
Oecetis avara,https://guides.nynhp.org/status/2.1228923/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1228923/Oecetis_avara/
Oecetis cinerascens,https://guides.nynhp.org/status/2.119950/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119950/Oecetis_cinerascens/
Oecetis immobilis,https://guides.nynhp.org/status/2.116772/,Immovable Long-horned Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G5,S2S3,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116772/Oecetis_immobilis/
Oecetis inconspicua,https://guides.nynhp.org/status/2.110424/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110424/Oecetis_inconspicua/
Oecetis nocturna,https://guides.nynhp.org/status/2.109401/,,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109401/Oecetis_nocturna/
Oecetis osteni,https://guides.nynhp.org/status/2.118259/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G5?,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118259/Oecetis_osteni/
Oecetis persimilis,https://guides.nynhp.org/status/2.113700/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113700/Oecetis_persimilis/
Oecetis scala,https://guides.nynhp.org/status/2.118980/,,Insecta (Insects),Trichoptera (Caddisflies),Leptoceridae,G3G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118980/Oecetis_scala/
Oemopteryx contorta,https://guides.nynhp.org/status/2.118312/,Dark Willowfly,Insecta (Insects),Plecoptera (Stoneflies),Taeniopterygidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118312/Oemopteryx_contorta/
Oemopteryx glacialis,https://guides.nynhp.org/status/2.121215/,Canadian Willowfly,Insecta (Insects),Plecoptera (Stoneflies),Taeniopterygidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121215/Oemopteryx_glacialis/
Oenanthe oenanthe,https://guides.nynhp.org/status/2.106194/,Northern Wheatear,Aves (Birds),Passeriformes (Perching Birds),Muscicapidae,G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106194/Oenanthe_oenanthe/
Oeneis jutta,https://guides.nynhp.org/status/2.111174/,Jutta Arctic,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Nymphalidae (Brushfooted Butterflies),G5,S1,,,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111174/Oeneis_jutta/
Oenothera laciniata,https://guides.nynhp.org/status/2.147752/,Cut-leaved Evening Primrose,Dicotyledoneae (Dicots),Myrtales,Onagraceae (Evening-Primrose Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/cut-leaved-evening-primrose/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147752/Oenothera_laciniata/
Oenothera nutans,https://guides.nynhp.org/status/2.154011/,Mountain Evening Primrose,Dicotyledoneae (Dicots),Myrtales,Onagraceae (Evening-Primrose Family),G4,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154011/Oenothera_nutans/
Oenothera oakesiana,https://guides.nynhp.org/status/2.160615/,Oakes' Evening Primrose,Dicotyledoneae (Dicots),Myrtales,Onagraceae (Evening-Primrose Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/oakes-evening-primrose/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160615/Oenothera_oakesiana/
Oligia bridghamii,https://guides.nynhp.org/status/2.108859/,Bridgham's Brocade,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,SU,,,,Y,A,https://guides.nynhp.org/bridghams-brocade/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108859/Oligia_bridghamii/
Oligoria maculata,https://guides.nynhp.org/status/2.114855/,Twin-spot Skipper,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Hesperiidae (Skippers),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114855/Oligoria_maculata/
Oligostomis ocelligera,https://guides.nynhp.org/status/2.117627/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Phryganeidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117627/Oligostomis_ocelligera/
Oligostomis pardalis,https://guides.nynhp.org/status/2.720924/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Phryganeidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.720924/Oligostomis_pardalis/
