Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Rhithrogena manifesta,https://guides.nynhp.org/status/2.110496/,,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110496/Rhithrogena_manifesta/
Rhithrogena uhari,https://guides.nynhp.org/status/2.118109/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G3G4,SNR,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118109/Rhithrogena_uhari/
Rhizomnium pseudopunctatum,https://guides.nynhp.org/status/2.126600/,Felt round moss,Bryopsida,Bryales,Mniaceae,G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126600/Rhizomnium_pseudopunctatum/
Rhodeus sericeus,https://guides.nynhp.org/status/2.102282/,Bitterling,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102282/Rhodeus_sericeus/
Rhodiola integrifolia ssp. leedyi,https://guides.nynhp.org/status/2.140095/,Leedy's Roseroot,Dicotyledoneae (Dicots),Rosales,Crassulaceae (Stonecrop Family),G5T1T2,S1,Threatened,Endangered,,Y,P,https://guides.nynhp.org/leedys-roseroot/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140095/Rhodiola_integrifolia_ssp_leedyi/
Rhodiola rosea,https://guides.nynhp.org/status/2.155970/,Common Roseroot,Dicotyledoneae (Dicots),Rosales,Crassulaceae (Stonecrop Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/common-roseroot/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155970/Rhodiola_rosea/
Rhododendron canadense,https://guides.nynhp.org/status/2.128779/,Rhodora,Dicotyledoneae (Dicots),Ericales,Ericaceae (Heath Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/rhodora/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128779/Rhododendron_canadense/
Rhododendron lapponicum,https://guides.nynhp.org/status/2.147437/,Lapland Rosebay,Dicotyledoneae (Dicots),Ericales,Ericaceae (Heath Family),G5,S2,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147437/Rhododendron_lapponicum/
Rhyacophila acutiloba,https://guides.nynhp.org/status/2.757735/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Rhyacophilidae,G5?,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757735/Rhyacophila_acutiloba/
Rhyacophila atrata,https://guides.nynhp.org/status/2.757743/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Rhyacophilidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757743/Rhyacophila_atrata/
